,dataset,n_rows,n_classes,tabpfn_acc,tabpfn_auc,rf_base_acc,rf_base_auc,rf_aug_acc,rf_aug_auc,rf_aug_conf_acc,rf_aug_conf_auc,mlp_base_acc,mlp_base_auc,mlp_aug_acc,mlp_aug_auc,mlp_aug_conf_acc,mlp_aug_conf_auc,mlp_soft_acc,mlp_soft_auc
33,analcatdata_lawsuit,264,2,0.9359375,0.9280578898225957,0.9359375,0.9221755368814193,0.9375,0.911297852474323,,,0.91171875,0.8502801120448179,0.91328125,0.7485527544351074,,,0.7953125,0.5639122315592904
34,climate-crashes,540,2,0.9154135338345866,0.6129774127310063,0.9154135338345866,0.5983025325119781,0.9150375939849624,0.5947570157426421,0.9154135338345865,0.5654802646589094,0.6443609022556391,0.5442892995665071,0.7834586466165414,0.5492128678986996,0.9088345864661653,0.5793349304129591,0.7473684210526315,0.5537850787132103
35,acute-inflammations,120,2,0.8928571428571429,0.9953518821603928,0.9178571428571429,0.9967266775777415,0.8892857142857142,0.9940752864157119,0.8714285714285716,0.9759083469721768,0.6964285714285714,0.7869067103109656,0.9285714285714285,0.9507692307692308,0.8607142857142858,0.8569558101472994,0.6124999999999999,0.7713911620294598
36,breast-tissue,106,6,0.3489795918367347,0.6289874189544876,0.3204081632653061,0.6324097445848154,0.2857142857142857,0.6207060787713765,0.28367346938775506,0.6218192726030851,0.18163265306122447,0.5117743502695788,0.16530612244897958,0.5120034674023153,0.16122448979591836,0.5055854465682379,0.1877551020408163,
37,fertility,100,2,0.8804347826086957,0.5255892255892255,0.8717391304347826,0.5401795735129069,0.8739130434782609,0.5232323232323232,,,0.8695652173913043,0.5024691358024691,0.8739130434782609,0.46835016835016835,,,0.8717391304347826,0.42592592592592593
38,corral,160,2,0.7473684210526316,0.8604735865505206,0.7684210526315789,0.8704380503897624,0.756578947368421,0.8573586890816408,0.6710526315789473,0.8388876566056671,0.7907894736842105,0.8749679596050342,0.786842105263158,0.8761515578431682,0.7368421052631579,0.7920853851622376,0.7539473684210527,0.8193356188835699
39,australian,690,2,0.7800586510263929,0.8642423609115528,0.7835777126099707,0.8679380339089319,0.7824046920821115,0.8472556754356173,0.767448680351906,0.8529411252470893,0.5489736070381233,0.5587519701838258,0.6155425219941348,0.638214164424358,0.5627565982404692,0.6053928611858547,0.5712609970674487,0.6221235316143752
40,conference_attendance,246,2,0.8563025210084033,0.5142147435897435,0.8621848739495798,0.5039262820512821,0.851890756302521,0.5232772435897436,,,0.8487394957983193,0.509951923076923,0.8707983193277311,0.4690504807692308,,,0.8563025210084033,0.5500801282051281
41,autoUniv-au7-700,700,3,0.37716763005780346,0.5361724734318678,0.3601156069364162,0.5185420392977891,0.38150289017341044,0.5308500935695184,0.34768786127167634,0.5129736700814668,0.3265895953757226,0.4949962657465209,0.3213872832369942,0.49335419057005786,0.3419075144508671,0.501082104967537,0.32254335260115613,
42,autoUniv-au6-400,400,8,0.2505102040816326,0.5051384063980554,0.24285714285714288,0.5042232736724697,0.2540816326530612,0.49878790402769446,0.21683673469387754,0.5062626209518597,0.15255102040816326,0.4965854976030089,0.14693877551020407,0.5000435639495698,0.11224489795918366,0.49698704262966065,0.14642857142857144,
43,diabetes-risk,520,2,0.7765625,0.8916799613246316,0.8,0.8891515591007977,0.788671875,0.8713479977439368,0.7841796875,0.8674522600918539,0.769921875,0.8713882845862543,0.765234375,0.8759390862944162,0.76904296875,0.8628595600676819,0.66640625,0.63676738377246
44,ar1,121,2,0.9256637168141593,0.5882142857142857,0.9238938053097344,0.5482142857142858,0.9221238938053098,0.5696428571428571,0.9256637168141593,0.5578571428571428,0.4,0.49869047619047624,0.7504424778761061,0.39869047619047615,0.6831858407079646,0.4147619047619048,0.6442477876106194,0.41904761904761906
45,ar4,107,2,0.8,0.6480263157894737,0.8080808080808082,0.6256578947368421,0.8020202020202021,0.534671052631579,0.795959595959596,0.6755263157894738,0.48686868686868684,0.49749999999999994,0.44646464646464645,0.43276315789473685,0.6020202020202021,0.4957894736842105,0.5535353535353535,0.4832894736842105
46,backache,180,2,0.8418604651162791,0.6864301801801802,0.8604651162790697,0.6456925675675675,0.8616279069767441,0.6086711711711711,0.8604651162790697,0.6555180180180179,0.7151162790697674,0.5568693693693694,0.8523255813953489,0.5844031531531532,0.8546511627906975,0.5545045045045045,0.7244186046511627,0.49408783783783783
47,datatrieve,130,2,0.9180327868852458,0.6248214285714286,0.8737704918032787,0.5955357142857143,0.8918032786885247,0.5523214285714285,,,0.39016393442622954,0.46116071428571426,0.7459016393442622,0.4321428571428572,,,0.6360655737704919,0.6289285714285715
48,profb,672,2,0.619277108433735,0.5559829627284147,0.6213855421686747,0.5427719273158125,0.6180722891566266,0.5458944056872619,0.6031626506024096,0.5318618939154061,0.6141566265060241,0.520721530494469,0.5852409638554217,0.5700152191454808,0.5417921686746987,0.503048936191945,0.47710843373493983,0.45954260850025025
49,kc2,522,2,0.7416342412451362,0.6999115147281406,0.7490272373540857,0.6751100244498777,0.7459143968871595,0.6855419722901385,0.8229571984435798,0.7684218186051928,0.6439688715953307,0.4277820468040517,0.5463035019455253,0.3108231458842706,0.5904669260700389,0.3258935848177902,0.39260700389105063,0.4549051111887298
50,megawatt1,253,2,0.8710204081632653,0.6191780821917808,0.8955102040816326,0.6434141201264489,0.8677551020408163,0.6547593958552863,0.8685714285714287,0.6516859852476291,0.41551020408163264,0.4707235686687742,0.4318367346938775,0.47009132420091326,0.4122448979591836,0.46894977168949775,0.5942857142857142,0.5559185107130313
